Time (seconds),temp_CPU,light,temp_OUT,moist_lv,year,month,date,hour,min,sec
122.09,23,142,21,110,2026,2,7,14,55,24
182.09,23,119,21,99,2026,2,7,14,56,24
242.09,23,119,21,99,2026,2,7,14,57,24
302.09,23,119,21,99,2026,2,7,14,58,24
362.09,22,134,21,108,2026,2,7,14,59,24
422.09,22,136,21,111,2026,2,7,15,0,24
482.09,22,0,21,655,2026,2,7,15,1,24
542.09,22,0,21,111,2026,2,7,15,2,24
602.09,22,142,21,112,2026,2,7,15,3,24
662.09,24,0,21,98,2026,2,7,15,4,24
722.09,23,143,21,110,2026,2,7,15,5,24
782.91,23,149,21,115,2026,2,7,15,6,25
842.09,23,155,21,116,2026,2,7,15,7,24
902.09,23,158,21,116,2026,2,7,15,8,24
962.09,23,158,21,118,2026,2,7,15,9,24
1022.09,23,150,20,119,2026,2,7,15,10,24
1082.09,22,141,20,120,2026,2,7,15,11,24
1142.09,22,141,20,120,2026,2,7,15,12,24
1202.91,22,145,20,121,2026,2,7,15,13,25
1262.09,22,144,20,121,2026,2,7,15,14,24
1322.09,22,139,20,122,2026,2,7,15,15,24
1382.09,22,133,20,122,2026,2,7,15,16,24
1442.09,21,127,20,122,2026,2,7,15,17,24
1502.09,21,123,20,123,2026,2,7,15,18,24
1562.09,21,117,20,123,2026,2,7,15,19,24
1622.09,21,106,20,124,2026,2,7,15,20,24
1682.09,21,100,20,124,2026,2,7,15,21,24
1742.09,21,93,20,124,2026,2,7,15,22,24
1802.09,20,94,20,125,2026,2,7,15,23,24
1862.09,20,94,20,126,2026,2,7,15,24,24
1922.09,20,92,20,127,2026,2,7,15,25,24
1982.09,20,96,19,128,2026,2,7,15,26,24
2042.09,20,105,19,127,2026,2,7,15,27,24
2102.09,19,109,19,128,2026,2,7,15,28,24
2162.09,19,108,19,128,2026,2,7,15,29,24
2222.09,19,109,19,129,2026,2,7,15,30,24
2282.09,19,111,19,129,2026,2,7,15,31,24
2342.09,19,108,19,129,2026,2,7,15,32,24
2402.09,19,104,19,130,2026,2,7,15,33,24
2462.09,19,99,19,130,2026,2,7,15,34,24
2522.09,19,93,19,130,2026,2,7,15,35,24
2582.09,18,87,19,131,2026,2,7,15,36,24
2642.09,18,82,18,131,2026,2,7,15,37,24
2702.09,18,75,18,131,2026,2,7,15,38,24
2762.09,18,65,18,131,2026,2,7,15,39,24
2822.09,18,54,18,132,2026,2,7,15,40,24
2882.09,18,41,18,133,2026,2,7,15,41,24
2942.09,18,36,18,132,2026,2,7,15,42,24
3002.09,17,27,18,133,2026,2,7,15,43,24
3062.09,17,22,18,132,2026,2,7,15,44,24
3122.09,17,16,18,133,2026,2,7,15,45,24
3182.09,17,0,18,133,2026,2,7,15,46,24
3242.09,17,0,18,134,2026,2,7,15,47,24
3302.09,17,0,18,133,2026,2,7,15,48,24
3362.09,17,0,18,134,2026,2,7,15,49,24
3422.09,17,0,18,133,2026,2,7,15,50,24
3482.09,17,0,17,133,2026,2,7,15,51,24
3542.09,17,0,17,134,2026,2,7,15,52,24
3602.09,17,0,17,134,2026,2,7,15,53,24
3662.09,17,8,17,134,2026,2,7,15,54,24
3722.09,17,19,17,135,2026,2,7,15,55,24
3782.09,16,27,17,135,2026,2,7,15,56,24
3842.09,16,38,17,135,2026,2,7,15,57,24
3902.09,16,46,17,135,2026,2,7,15,58,24
